surname,name,birthdate,codice_fiscale,ID_home
D'Agostino,Marco,1950-01-10,DGSMRC50A10F205I,32
Magnani,Giulia,1969-10-24,MGNGLI69R64F205C,82
Sanna,Federico,1932-05-03,SNNFRC32E03F205E,76
Trevisan,Maria,1974-08-12,TRVMRA74M52F205D,32
Dal Farra ,Cinzia,1984-11-03,DLFCNZ84S43F205R,48
Milan,Quintino,1964-12-28,MLNQTN64T28F205N,49
Rizzi,Franco Domenico,1992-11-07,RZZFNC92S07F205C,49
Caruso,Carla,1991-07-29,CRSCRL91L69F205B,49
Sartori,Nicoletto,1986-02-03,SRTNLT86B03F205E,75
Repetto,Alice Angie,1984-05-03,RPTLNG84E43F205K,3
Canepa,Ezio,1941-12-31,CNPZEI41T31F205J,79
Menozzi,Pietro,1928-10-29,MNZPTR28R29F205L,87
Ferrari,Tiziana,1941-11-01,FRRTZN41S41F205M,12
Mancini,Francesca,1962-06-12,MNCFNC62H52F205A,84
Grillo,Abdelhadi,1967-09-28,GRLBLH67P28F205N,83
De Angelis,Rosa,1941-02-27,DNGRSO41B67F205E,23
D'Andrea,Oriella,1926-12-31,DNDRLL26T71F205K,23
Romano,Bruno Antonio,1986-02-02,RMNBNN86B02F205X,100
Di Stefano,Giacomo,1933-06-29,DSTGCM33H29F205F,98
Russo,Cinzia,1984-12-13,RSSCNZ84T53F205B,10
Bodini,Francesca,1935-06-02,BDNFNC35H42F205H,71
Bortoluzzi,Simona,1944-10-25,BRTSMN44R65F205N,93
Rossi,Ferdinando,1945-09-04,RSSFDN45P04F205I,7
Russo,Alberto,1971-09-04,RSSLRT71P04F205Z,26
Di Nardo,Rossella,1998-01-27,DNRRSL98A67F205O,100
Manca,Cristina,1942-01-13,MNCCST42A53F205M,44
De Angelis,Renato Aldo,1975-09-26,DNGRTL75P26F205M,56
Festuccia,Angelo,1932-02-25,FSTNGL32B25F205B,52
Malavasi,Serena,1926-12-14,MLVSRN26T54F205K,55
De Giorgi,Lidia,1962-06-10,DGRLDI62H50F205G,49
Barbieri,Vasile,1976-08-19,BRBVSL76M19F205R,80
Venturini,Annalisa,1979-09-02,VNTNLS79P42F205D,8
Bruzzone,Graziella,1930-10-16,BRZGZL30R56F205I,59
Barbieri,Marilu',1951-10-24,BRBMRL51R64F205E,87
Cossu,Iolanda,1992-11-26,CSSLND92S66F205S,42
Aiello,Calogera,1980-07-31,LLACGR80L71F205Z,11
Martini,Alessandro,1941-06-07,MRTLSN41H07F205W,98
Giuffrida,Barbara,1943-08-04,GFFBBR43M44F205N,41
Rizza,Graziella,1967-01-23,RZZGZL67A63F205Z,63
Costa,Valentin,1977-03-06,CSTVNT77C06F205I,63
Esposito,Giorgio,1972-07-11,SPSGRG72L11F205C,79
Piras,Marina,1934-08-05,PRSMRN34M45F205E,92
Iezzi,Concetta,1952-01-03,ZZICCT52A43F205N,61
Bandini,Monica,1966-09-23,BNDMNC66P63F205K,5
Lanteri,Camilla,1959-03-24,LNTCLL59C64F205J,100
Ferrari,Aboubakr,1962-10-04,FRRBKR62R04F205L,54
Bucci,Luisella,1983-06-14,BCCLLL83H54F205F,20
De Santis,Matilda,1967-11-20,DSNMLD67S60F205Y,19
Cattaneo,Patrizia Lucia Francesca,1995-07-28,CTTPRZ95L68F205I,48
Lombardi,Dea,1937-08-15,LMBDEA37M55F205X,88
Esposito,Ezio,1976-07-25,SPSZEI76L25F205Q,63
Bionaz,Roberto,1956-07-22,BNZRRT56L22F205D,41
Rizzo,Keljon,1946-10-10,RZZKJN46R10F205S,22
Russo,Elvira Cellina,1960-09-11,RSSLRC60P51F205B,76
Mazzoni,Vincenzo,1974-06-22,MZZVCN74H22F205R,67
Paolucci,Paolo Giuseppe,1925-06-17,PLCPGS25H17F205F,35
Picariello,Fabio,1977-04-23,PCRFBA77D23F205D,26
Serra,Pietro,1937-07-31,SRRPTR37L31F205X,36
Sanfilippo,Severino,1929-07-21,SNFSRN29L21F205Q,85
Rossi,Marco,1965-08-09,RSSMRC65M09F205M,80
Gori,Dominick,1986-04-21,GRODNC86D21F205V,41
Pircher,Claudio,1960-07-27,PRCCLD60L27F205R,23
Mancini,Paolo,1979-05-22,MNCPLA79E22F205Q,96
Ferrari,Giorgio,2002-04-02,FRRGRG02D02F205S,92
Bianchi,Virginia,1930-05-14,BNCVGN30E54F205Q,59
Bacci,Vincenzo Cristian,1990-02-25,BCCVCN90B25F205B,99
Rossi,Francesca,1967-03-14,RSSFNC67C54F205Z,93
De Luca,Jacopo,1980-11-10,DLCJCP80S10F205E,99
Marinelli,Diana,1922-03-05,MRNDNI22C45F205I,92
Rosso,Gabriele,1936-06-05,RSSGRL36H05F205Z,12
Sala,Nektar,1991-07-06,SLANTR91L06F205C,14
Traverso,Luigi,1966-10-16,TRVLGU66R16F205Z,30
De Marco,Fiorenzo,2002-12-16,DMRFNZ02T16F205D,85
Rinaldi,Marzia,1975-04-16,RNLMRZ75D56F205M,65
Corradi,Angelo,1999-05-25,CRRNGL99E25F205Q,38
Forte,Massimo,1939-11-11,FRTMSM39S11F205C,16
D'Amico,Roberta,1951-02-11,DMCRRT51B51F205G,7
Hofer,Francesca,1942-09-23,HFRFNC42P63F205D,45
Sechi,Denis Daniel,1936-03-02,SCHDSD36C02F205R,31
Benini,Marley,1973-05-08,BNNMLY73E48F205S,91
Zanatta,Farid,1975-06-09,ZNTFRD75H09F205T,1
Talarico,Lorenzo,1929-09-06,TLRLNZ29P06F205O,2
Gamberini,Isabella,1932-02-23,GMBSLL32B63F205B,20
Coslovich  Visintin,Osvaldo,1960-05-16,CSLSLD60E16F205L,96
Traverso,Aiyevbekpen,1923-10-16,TRVYBK23R16F205A,69
Giusti,Eleonora,1954-03-25,GSTLNR54C65F205D,72
Diana,Felice,1932-12-23,DNIFLC32T23F205B,81
Bianchi,Susanna,1976-11-12,BNCSNN76S52F205H,42
Ricci,Ivana,1961-02-09,RCCVNI61B49F205Y,44
Riva,Emanuela,1950-05-22,RVIMNL50E62F205R,74
